question,answer,dummy1,dummy2,dummy3
achieve,達成する,諦める,避ける,失敗する
environment,環境,経済,娯楽,伝統
describe,説明する,破壊する,発見する,招待する
opportunity,機会,困難,結論,責任
improve,改善する,減少する,準備する,混乱させる
evidence,証拠,想像,知識,意見
attractive,魅力的な,攻撃的な,絶望的な,典型的な
develop,発達させる,繰り返す,分離する,無視する
artificial,人工的な,伝統的な,基礎的な,効率的な
challenge,挑戦,休憩,謝罪,信頼
immediate,即座の,永遠の,貴重な,慎重な
provide,提供する,奪う,禁止する,期待する
essential,不可欠な,些細な,曖昧な,危険な
experience,経験,実験,表現,展示
reduce,減らす,増やす,許す,混ぜる
common,共通の,奇妙な,高価な,複雑な
government,政府,企業,教育,宗教
allow,許可する,拒否する,疑う,驚かせる
decision,決定,議論,競争,苦情
individual,個人の,社会の,地元の,国際的な
prepare,準備する,生産する,比較する,解決する
available,利用可能な,貴重な,空の,遠い
advantage,利点,欠点,距離,影響
recognize,識別する,忘れる,隠す,探す
prevent,防ぐ,勧める,励ます,似ている
curious,好奇心の強い,勇敢な,寛容な,頑固な
encourage,励ます,脅す,避ける,批判する
necessary,必要な,不要な,便利な,快適な
success,成功,失敗,努力,幸運
explore,探検する,爆発する,説明する,除外する
pollution,汚染,解決,発明,保存
believe,信じる,疑う,期待する,想像する
creative,創造的な,伝統的な,保守的な,受動的な
material,材料,精神,幽霊,筋肉
suggest,提案する,拒絶する,攻撃する,命令する
focus,集中する,散る,隠れる,壊れる
reliable,信頼できる,疑わしい,怠惰な,複雑な
compare,比較する,結合する,保存する,修理する
international,国際的な,国内の,地方の,伝統的な
variety,多様性,類似性,安全性,可能性
complain,苦情を言う,賞賛する,同意する,説明する
destination,目的地,出発地,乗り換え,距離
expert,専門家,初心者,犯人,犠牲者
average,平均の,極端な,最高の,最低の
communicate,伝える,隠す,止める,無視する
dangerous,危険な,安全な,静かな,賑やかな
efficient,効率的な,無駄な,遅い,古い
popular,人気のある,孤立した,厳しい,謙虚な
satisfied,満足した,失望した,驚いた,怒った
tradition,伝統,流行,科学,経済
advertise,宣伝する,隠す,消費する,製造する
behavior,振る舞い,外見,思考,感情
convenient,便利な,面倒な,遠い,高価な
education,教育,労働,貿易,農業
favorite,お気に入りの,嫌いな,普通の,珍しい
graduated,卒業した,入学した,失敗した,出席した
history,歴史,数学,地理,科学
include,含む,除外する,分ける,減らす
journey,旅,競争,衝突,休息
knowledge,知識,秘密,夢,嘘
local,地元の,世界的な,都市の,宇宙の
machine,機械,道具,建物,植物
nature,自然,文明,技術,政治
opinion,意見,事実,証拠,疑問
patient,忍耐強い,短気な,傲慢な,怠惰な
quality,質,量,重さ,長さ
respect,尊敬する,軽蔑する,恐れる,怒る
situation,状況,解決,理由,目的
technology,技術,自然,芸術,宗教
uniform,制服,私服,装備,道具
vegetable,野菜,果物,肉,穀物
weather,天気,季節,気温,地震
youth,若さ,老い,子供時代,未来
zero,ゼロ,全て,半分,多数
accept,受け入れる,断る,投げる,壊す
bridge,橋,道路,壁,窓
century,世紀,年,月,日
degree,程度,速度,角度,温度
energy,エネルギー,疲労,休息,沈黙
festival,祭り,会議,試験,葬式
guest,客,主人,敵,泥棒
health,健康,病気,病院,薬
interest,興味,退屈,恐怖,怒り
kitchen,台所,寝室,居間,風呂
language,言語,文字,記号,数字
memory,記憶,忘却,想像,夢
nervous,緊張した,落ち着いた,幸福な,悲しい
orange,オレンジ,リンゴ,バナナ,ブドウ
perfect,完璧な,不完全な,欠陥のある,悪い
quick,速い,遅い,強い,弱い
result,結果,原因,過程,始まり
social,社会的な,個人的な,私的な,孤立した
tourist,観光客,住民,案内人,運転手
useful,役に立つ,無益な,有害な,危険な
village,村,都市,国,島
weight,重さ,高さ,広さ,深さ
x-ray,X線,光,音,熱
yesterday,昨日,明日,今日,先週
zoo,動物園,公園,図書館,博物館
ability,能力,性格,習慣,運
concentrate,集中する,妥協する,祝う,循環する
consequence,結果,寄付,建設,快適さ
determine,決定する,延期する,衰退する,配達する
enormous,巨大な,謙虚な,壊れやすい,奇妙な
flexible,柔軟な,貴重な,有害な,絶望的な
guarantee,保証する,卒業する,収穫する,発生する
hesitate,躊躇する,誇張する,移住する,支配する
influence,影響,呼吸,許可,罰
justify,正当化する,組織する,出版する,満足させる
knowledge,知識,誠実,謝罪,信頼
leisure,余暇,圧力,測定,正義
maintain,維持する,獲得する,驚かせる,変換する
numerous,多数の,肯定的な,極端な,唯一の
