question,all_answers,dummy_pool
follow,～の後に続く、～に従う,"発達する、～を発達させる, ～に着く、～に達する, ～を無視する"
consider,～を考慮する,"～を供給する、与える, ～を許可する, ～を忘れる"
increase,増える、～を増やす,"続く、～を続ける, ～を強制する, ～を避ける"
expect,～を予期する,"～を含む、含める, ～を申し出る, ～を無視する"
decide,～することを決意する,"ままでいる, ～を悟る, ～を忘れる"
develop,発達する、～を発達させる,"～に着く、～に達する, ～と提案する、～をほのめかす, ～を避ける"
provide,～を供給する、与える,"～を許可する, ～を必要とする, ～を無視する"
continue,続く、～を続ける,"～を強制する, 心配する, ～を忘れる"
include,～を含む、含める,"～を申し出る, ～かと疑問に思う, ～を避ける"
remain,ままでいる,"～を悟る, ～を要する, ～を無視する"
reach,～に着く、～に達する,"～と提案する、～をほのめかす, ～する傾向がある、～しがちである, ～を忘れる"
allow,～を許可する,"～を必要とする, ～に依存する、～しだいで決まる, ～を避ける"
force,～を強制する,"心配する, ～を分け合う、共有する, ～を無視する"
offer,～を申し出る,"～かと疑問に思う, ～を要求する, ～を忘れる"
realize,～を悟る,"～を要する, ～を支持する, ～を避ける"
suggest,～と提案する、～をほのめかす,"～する傾向がある、～しがちである, ～を雇う, ～を無視する"
require,～を必要とする,"～に依存する、～しだいで決まる, AをBだと思う、みなす, ～を忘れる"
worry,心配する,"～を分け合う、共有する, AがBに基づいている, ～を避ける"
wonder,～かと疑問に思う,"～を要求する, ～を向上させる, ～を無視する"
cost,～を要する,"～を支持する, ～を認める, ～を忘れる"
tend,～する傾向がある、～しがちである,"～を雇う, ～に気づく, ～を避ける"
depend,～に依存する、～しだいで決まる,"AをBだと思う、みなす, ～だと思う, ～を無視する"
share,～を分け合う、共有する,"AがBに基づいている, ～を上げる、～を育てる, ～を忘れる"
demand,～を要求する,"～を向上させる, ～をより好む, ～を避ける"
support,～を支持する,"～を認める, ～を励ます, ～を無視する"
hire,～を雇う,"～に気づく, ～を経験する、受ける、苦しむ, ～を忘れる"
regard,AをBだと思う、みなす,"～だと思う, ～を描写する、～の特徴を説明する, ～を避ける"
base,AがBに基づいている,"～を上げる、～を育てる, ～をさまたげる, ～を無視する"
improve,～を向上させる,"～をより好む, ～を減らす, ～を忘れる"
recognize,～を認める,"～を励ます, ～を誤解する、まちがえる, ～を避ける"
notice,～に気づく,"～を経験する、受ける、苦しむ, ～の準備をする, ～を無視する"
suppose,～だと思う,"～を描写する、～の特徴を説明する, はげます, ～を忘れる"
raise,～を上げる、～を育てる,"～をさまたげる, ～だとわかる, ～を避ける"
prefer,～をより好む,"～を減らす, ～をあつかう, ～を無視する"
cheer,～を励ます,"～を誤解する、まちがえる, ～を設立する、創立する, ～を忘れる"
suffer,～を経験する、受ける、苦しむ,"～の準備をする, 関係がある, ～を避ける"
describe,～を描写する、～の特徴を説明する,"はげます, ～を比較する、～をたとえる, ～を無視する"
prevent,～をさまたげる,"～だとわかる, ～を広げる；広がる, ～を忘れる"
reduce,～を減らす,"～をあつかう, ～を指示する, ～を避ける"
mistake,～を誤解する、まちがえる,"～を設立する、創立する, ～を供給する, ～を無視する"
